,Country Code,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes
0,162,1,0,0,3,4.8,0,1,314
1,162,1,0,0,3,4.5,0,1,591
2,162,1,0,0,4,4.4,1,5,270
3,162,0,0,0,4,4.9,0,1,365
4,162,1,0,0,4,4.8,0,1,229
5,162,0,0,0,3,4.4,1,5,336
6,162,1,0,0,4,4.0,1,5,520
7,162,1,0,0,4,4.2,1,5,677
8,162,1,0,0,4,4.9,0,1,621
9,162,1,0,0,3,4.8,0,1,532
10,162,0,0,0,3,4.9,0,1,1070
11,162,1,0,0,3,4.2,1,5,488
12,162,0,0,0,3,4.8,0,1,294
13,162,1,0,0,3,4.2,1,5,458
14,162,0,0,0,3,4.3,1,5,223
15,162,0,0,0,3,3.6,5,2,29
16,162,0,0,0,3,4.0,1,5,72
17,162,1,0,0,3,4.5,0,1,211
18,162,0,0,0,2,4.5,0,1,118
19,162,1,0,0,4,4.4,1,5,392
20,162,1,0,0,4,4.7,0,1,535
21,162,1,0,0,4,4.5,0,1,618
22,30,0,0,0,2,3.0,2,0,6
23,30,0,0,0,1,3.8,5,2,9
24,30,0,0,0,2,3.7,5,2,11
25,30,0,0,0,3,3.8,5,2,11
26,30,0,0,0,2,3.2,2,0,11
27,30,0,0,0,3,3.1,2,0,10
28,30,0,0,0,3,3.7,5,2,8
29,30,0,0,0,4,3.7,5,2,5
30,30,0,0,0,1,0.0,4,3,2
31,30,0,0,0,4,4.1,1,5,12
32,30,0,0,0,4,3.1,2,0,9
33,30,0,0,0,3,3.6,5,2,9
34,30,0,0,0,4,4.3,1,5,29
35,30,0,0,0,4,4.2,1,5,17
36,30,0,0,0,4,3.6,5,2,5
37,30,0,0,0,4,4.0,1,5,10
38,30,0,0,0,4,3.2,2,0,6
39,30,0,0,0,4,4.9,0,1,30
40,30,0,0,0,4,3.3,2,0,8
41,30,0,0,0,2,3.6,5,2,9
42,30,0,0,0,4,4.0,1,5,7
43,30,0,0,0,4,4.8,0,1,29
44,30,0,0,0,3,4.7,0,1,24
45,30,0,0,0,3,4.5,0,1,29
46,30,0,0,0,4,4.2,1,5,11
47,30,0,0,0,3,4.8,0,1,19
48,30,0,0,0,4,4.9,0,1,40
49,30,0,0,0,3,4.6,0,1,21
50,30,0,0,0,4,4.9,0,1,49
51,30,0,0,0,4,4.6,0,1,21
52,30,0,0,0,3,4.3,1,5,14
53,30,0,0,0,4,4.0,1,5,5
54,30,0,0,0,4,4.6,0,1,25
55,30,0,0,0,4,4.4,1,5,13
56,30,0,0,0,2,4.2,1,5,7
57,30,0,0,0,4,4.2,1,5,8
58,30,0,0,0,3,0.0,4,3,1
59,30,0,0,0,4,4.7,0,1,44
60,30,0,0,0,3,4.6,0,1,24
61,30,0,0,0,3,4.3,1,5,10
62,30,0,0,0,4,4.5,0,1,49
63,30,0,0,0,4,4.4,1,5,17
64,30,0,0,0,3,3.1,2,0,5
65,30,0,0,0,4,4.1,1,5,15
66,30,0,0,0,4,4.8,0,1,59
67,30,0,0,0,4,4.6,0,1,30
68,30,0,0,0,3,3.9,5,2,5
69,30,0,0,0,2,0.0,4,3,0
70,30,0,0,0,4,3.4,2,0,73
71,30,0,0,0,4,3.5,5,2,9
72,30,0,0,0,4,4.3,1,5,39
73,30,0,0,0,4,3.9,5,2,12
74,30,0,0,0,4,4.3,1,5,68
75,30,0,0,0,4,4.3,1,5,46
76,30,0,0,0,4,4.4,1,5,37
77,30,0,0,0,3,0.0,4,3,2
78,30,0,0,0,2,0.0,4,3,2
79,30,0,0,0,4,4.4,1,5,22
80,30,0,0,0,3,4.6,0,1,58
81,30,0,0,0,4,4.1,1,5,11
82,216,0,0,0,2,3.3,2,0,35
83,216,0,0,0,1,3.3,2,0,25
84,216,0,0,0,1,3.4,2,0,45
85,216,0,0,0,1,3.4,2,0,26
86,216,0,0,0,1,3.5,5,2,67
87,216,0,0,0,1,3.9,5,2,141
88,216,0,0,0,2,3.7,5,2,147
89,216,0,0,0,4,3.5,5,2,51
90,216,0,0,0,2,3.6,5,2,88
91,216,0,0,0,1,3.8,5,2,153
92,216,0,0,0,2,3.5,5,2,57
93,216,0,0,0,2,3.5,5,2,58
94,216,0,0,0,3,3.6,5,2,115
95,216,0,0,0,3,3.5,5,2,51
96,216,0,0,0,3,3.8,5,2,250
97,216,0,0,0,1,3.7,5,2,117
98,216,0,0,0,1,3.4,2,0,20
99,14,0,0,0,2,3.5,5,2,25
100,216,0,0,0,3,4.5,0,1,1821
101,216,0,0,0,1,4.5,0,1,849
102,216,0,0,0,1,4.6,0,1,917
103,216,0,0,0,1,3.9,5,2,439
104,216,0,0,0,1,3.7,5,2,289
105,216,0,0,0,1,4.3,1,5,558
106,216,0,0,0,1,4.2,1,5,613
107,216,0,0,0,2,4.0,1,5,353
108,216,0,0,0,2,4.1,1,5,387
109,216,0,0,0,3,4.3,1,5,755
110,216,0,0,0,1,4.2,1,5,800
111,216,0,0,0,1,4.1,1,5,350
112,216,0,0,0,3,4.1,1,5,464
113,216,0,0,0,2,4.2,1,5,550
114,216,0,0,0,1,4.1,1,5,543
115,216,0,0,0,3,4.1,1,5,465
116,216,0,0,0,1,4.4,1,5,546
117,216,0,0,0,1,4.4,1,5,1098
118,216,0,0,0,2,4.2,1,5,579
119,216,0,0,0,1,4.1,1,5,374
120,216,0,0,0,3,4.6,0,1,717
121,216,0,0,0,3,4.9,0,1,548
122,216,0,0,0,2,4.5,0,1,631
123,216,0,0,0,1,3.9,5,2,372
124,216,0,0,0,2,3.9,5,2,201
125,216,0,0,0,3,3.8,5,2,332
126,216,0,0,0,2,3.5,5,2,304
127,216,0,0,0,3,4.3,1,5,368
128,216,0,0,0,2,4.1,1,5,430
129,216,0,0,0,2,4.4,1,5,433
130,216,0,0,0,1,4.0,1,5,380
131,216,0,0,0,2,4.0,1,5,456
132,216,0,0,0,3,4.2,1,5,647
133,216,0,0,0,3,4.0,1,5,360
134,216,0,0,0,2,4.0,1,5,227
135,216,0,0,0,2,3.9,5,2,290
136,216,0,0,0,1,4.1,1,5,270
137,216,0,0,0,2,4.0,1,5,326
138,216,0,0,0,3,4.3,1,5,317
139,216,0,0,0,1,4.2,1,5,300
140,14,0,0,0,2,3.2,2,0,21
141,14,0,0,0,2,4.6,0,1,237
142,216,0,0,0,2,4.5,0,1,879
143,216,0,0,0,2,4.6,0,1,615
144,216,0,0,0,2,4.5,0,1,879
145,216,0,0,0,4,3.9,5,2,379
146,216,0,0,0,1,4.3,1,5,303
147,216,0,0,0,4,4.1,1,5,538
148,216,0,0,0,1,4.2,1,5,334
149,216,0,0,0,2,4.3,1,5,555
150,216,0,0,0,1,4.4,1,5,823
151,216,0,0,0,2,4.1,1,5,550
152,216,0,0,0,2,4.4,1,5,650
153,216,0,0,0,1,4.3,1,5,410
154,216,0,0,0,1,4.4,1,5,660
155,216,0,0,0,2,4.4,1,5,360
156,216,0,0,0,3,4.0,1,5,340
157,216,0,0,0,2,4.1,1,5,393
158,216,0,0,0,1,4.3,1,5,422
159,216,0,0,0,3,4.0,1,5,435
160,216,0,0,0,2,4.0,1,5,369
161,216,0,0,0,3,4.4,1,5,487
162,216,0,0,0,3,3.7,5,2,98
163,216,0,0,0,3,4.1,1,5,365
164,216,0,0,0,1,4.1,1,5,190
165,216,0,0,0,3,4.1,1,5,429
166,216,0,0,0,2,4.4,1,5,430
167,216,0,0,0,2,4.2,1,5,186
168,216,0,0,0,1,4.2,1,5,220
169,216,0,0,0,1,4.2,1,5,347
170,216,0,0,0,2,3.8,5,2,161
171,216,0,0,0,2,4.1,1,5,160
172,216,0,0,0,1,4.9,0,1,820
173,216,0,0,0,1,4.5,0,1,488
174,216,0,0,0,2,3.6,5,2,253
175,216,0,0,0,3,3.8,5,2,220
176,216,0,0,0,2,4.3,1,5,485
177,216,0,0,0,3,4.3,1,5,428
178,216,0,0,0,2,4.1,1,5,294
179,216,0,0,0,3,4.0,1,5,380
180,216,0,0,0,2,4.2,1,5,259
181,216,0,0,0,2,4.7,0,1,433
182,37,0,0,0,2,3.7,5,2,176
183,216,0,0,0,1,4.3,1,5,96
184,216,0,0,0,2,3.1,2,0,6
185,216,0,0,0,1,3.3,2,0,33
186,216,0,0,0,2,4.6,0,1,489
187,216,0,0,0,2,4.5,0,1,345
188,216,0,0,0,2,3.8,5,2,149
189,216,0,0,0,2,3.9,5,2,330
190,216,0,0,0,3,3.9,5,2,247
191,216,0,0,0,1,3.7,5,2,123
192,216,0,0,0,3,3.6,5,2,109
193,216,0,0,0,3,3.7,5,2,134
194,216,0,0,0,3,4.2,1,5,722
195,216,0,0,0,2,4.3,1,5,213
